text,user,ts
来週末から勉強します:bangbang:（試験は受けない）,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-10-08 19:40:23.583079
"応用情報技術者
ネットワークスペシャリスト
情報処理安全確保支援士
危険物乙4
の参考書をゲットしました。（新品やら同僚のお古やら）

秋試験は申し込み忘れだったので、春にどれか受けます！
（乙4はどっかで）
一旦全部参考書をさら～っと読むつもりです。",川久保翔太,2025-09-24 19:52:12.108229
"Re:こんな感じで行きます
```2026年春 応用情報
2026年秋 情報処理安全確保支援士
2027年春 ネットワークスペシャリスト
※なんか役に立ちそうだしどっか息抜きで危険物乙４```
",川久保翔太,2025-09-25 11:15:45.792629
勝ち申した（正式発表？はまだですが）,川久保翔太,2025-09-22 14:57:46.049699
"SC-900も無事に受かりました～
さて次は基本情報だ・・・",川久保翔太,2025-09-20 11:18:31.072979
"先程受験してきてAZ-900無事に受かりました！
次はSC-900に手を出そうと思います。
それが終われば一旦はMicrosoft系はお休みかなと

基本情報は受かるまで粘ります。業務直結の勉強もしたいところ…お金が足りません",川久保翔太,2025-09-01 13:06:26.853799
"基本情報からの逃げ＆参考書積んでたのでAZ-900を9/1に受けます！
電車通勤の時間を有効に…",川久保翔太,2025-08-12 18:58:23.258399
"現状報告：
最低限の機能のものができました！まだまだ不便なのでコツコツ修正中です。文字化け問題や紐づけ関連のエラーでたくさん勉強ができています。",上野 明音_ｳｴﾉﾒｲ,2025-08-10 20:24:59.046689
時間できたので、今日の22時ごろからdojoでやってみます :star-struck: 興味ある方ぜひ :+1: ,古川格(運営),2025-08-03 20:10:02.377929
"今月中に <https://gaaaon.jp/blog/mulmoscript|これ> を触ってみる :partying_face: 
使用期限の切れるAPIクレジットもあるので使いきりたい :blob_smile_happy_eyes: ",古川格(運営),2025-08-01 13:16:14.638559
Re:時間できたので、今日の22時ごろからdojoでやってみます :star-struck: 興味ある方ぜひ :+1: ,古川格(運営),2025-08-03 20:10:02.377929
