text,user,ts
"さす東
<https://www.itmedia.co.jp/news/articles/2510/16/news023.html>",吉井春樹,2025-10-17 10:30:36.329219
もし可能なら、対象となるデータってどうやって見つけるんでしょうか？,橋口加代子(運営),2025-10-16 22:26:27.476939
"ご存知の方がいれば教えてください～
データの復元とかで、ちょっと疑問が、、
pc内の削除したデータを復元できないようにしたいなーと思ったばあい、
初期化とかじゃなく、アプリとかもそのままの使える状態で
いま、pc内に削除処理してない残っているデータもそのままで
削除したデータのみ完全消去するとかって可能なんでしょうか？
",橋口加代子(運営),2025-10-16 22:25:08.961759
"Re:アプリのお行儀による部分なのであくまで一例ですが、デフォだと非表示のフォルダになりますがAppData下の該当ファイル消せばOKとかレジストリからも消さなきゃダメよとかはありますけど
※厳密な意味での完全消去ではなく通常でアクセスできないように余計なファイルを削除しアプリの設定やらのみ初期化するんだろうなと認識してのお話です",吉井春樹,2025-10-16 22:41:11.414889
Re:じゃなくて、hogehoge.txtみたいな単体のファイルを二度と復元できないようにしたい！という話ならbitlockerで暗号化しておけばまぁ…という考え方かコマンドラインから同名の空ファイルで完全上書きして消す(HDD時代ならまあ効果的でしたがSSDな時代の今だと限定的な効果しかないかもしれません)とかですかね…,吉井春樹,2025-10-16 22:52:32.050799
Re:どちらかと言えば後者でしょうか、、、,橋口加代子(運営),2025-10-16 22:53:11.267099
Re:まぁ、ちょっと、要らんものとか余計なものを削除したんですが、他の人が復元ソフト使ったら全然見れるということなので，それができなくなればと思ったんですよねー,橋口加代子(運営),2025-10-16 22:55:09.671889
"Re:あとはMSさんのこれ
<https://learn.microsoft.com/ja-jp/sysinternals/downloads/sdelete>
使って上書き削除という方法もあります

一番簡単なのはbitlockerで暗号化してしまうと(通常は)暗号キーわからん限り復元できません…MSは自己責任で知りません…するのでこれですかね",吉井春樹,2025-10-16 22:57:24.968419
"Re:おお～
これって，私がさっき言ったような、すでに表面上は削除したデータを消去となると，空き領域のクリーンアップになるんでしょうか？",橋口加代子(運営),2025-10-16 23:03:05.864729
Re:SDeleteが厳密に何やるかはちょっと覚えてないですけど空領域に空データで上書きするってのはやってくれるはずどすえ,吉井春樹,2025-10-16 23:04:45.027159
Re:消したくないのも間違って消しそうで怖いですね:cold_sweat:,橋口加代子(運営),2025-10-16 23:05:01.597299
Re:空き領域を上書きしたら、復元ソフト使っても、いま、残してる分しか出ないってにんしきでまちがってない？,橋口加代子(運営),2025-10-16 23:06:59.225479
Re:基本そうです,吉井春樹,2025-10-16 23:08:27.945939
Re:ただしSSDに関してはそのデータの記録方法のせいで絶対の絶対に復元できないよ？とは言えないねってなります,吉井春樹,2025-10-16 23:09:22.570979
Re:まあこれ言い出したら物理的に破壊せえ！となっていくので…,吉井春樹,2025-10-16 23:10:13.695079
"Re:なるほど:face_with_monocle:
吉井先生ありがとうございました:blush:",橋口加代子(運営),2025-10-16 23:11:27.744289
