text,user,ts
"とほほさんがPuppeteerとPlaywright入門をまとめてらっしゃる… (どちらもブラウザ操作系の何某)
<https://www.tohoho-web.com/ex/puppeteer.html>
<https://www.tohoho-web.com/ex/playwright.html>",吉井春樹,2025-10-09 11:05:23.627789
"Webサイト作ろう会で作成しているブログサイト、Scroll（<https://hagakurepgm.net/blog/>）ですが、これまでブログ作成時、URLを手動で半角英数に変更しないと表示できないエラーがありましたが、本日作ろう会のメンバーで、自動的にブログの連番をURLにするように仕様変更しました:blob_cheer:
これでいっそうブログ公開がやりやすくなりましたので、皆さんのブログ記載お待ちしております:blob_smile_happy_eyes:",古川格(運営),2025-09-21 01:04:09.150599
"数少ないセキュリティマネジメント系のチャンネル
<https://youtu.be/UfEY-1oJ9B8?si=veHxASQGOKFmRU6T|https://youtu.be/UfEY-1oJ9B8?si=veHxASQGOKFmRU6T>",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-09-19 20:44:58.339169
おお。できました,川久保翔太,2025-09-14 21:46:56.333959
"Geminiの画像生成機能が話題になってるみたいです。
<https://zenn.dev/oikon/articles/nanobanana-mobile-mock#gemini-2.5-flash-image-(nano-banana)>",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-09-14 21:20:49.780779
Re:おお。できました,川久保翔太,2025-09-14 21:46:56.333959
"<!channel>
*第4期WEBサイト作ろう会のメンバーを募集します* :partying_face:
昨日説明会を行ったブログサイト、 <https://hagakurepgm.net/blog/|scroll> について、今後も改良を続けて行きたいと思います :blob_smile_happy_eyes:
WEB開発に興味のある方、是非この先を一緒にやってみませんか。

▼初心者大歓迎
デザイン、フロントエンド、バックエンド、マーケティング、どこでもやりたいパートでOKです :+1:
Figma（デザインツール）、Notion（万能メモツール）、Github（開発管理）、Googleanalytics（閲覧分析）など、無料のツール活用に興味がある方にもおすすめです:+1:
わからないことは教えてもらえます:+1:
未経験大募集 :+1: 自分のペースで開発できます:+1:

一緒に面白いことしましょう:partying_face:
興味のある方は私までDM下さい:sparkles:",古川格(運営),2025-08-24 13:00:38.448009
"WebページをMarkdownに変換してくれるサービス
<https://web2md.fybe.jp/>

LLM用にとても良さげだけど正式サービス始まったら有料なんだろうなぁ…",吉井春樹,2025-07-31 00:18:42.768989
Re:Cursorは確か最適化してくれる機能があったと思うがトークンの無駄遣いを減らすために標準にしてほしい,吉井春樹,2025-07-31 00:22:31.723909
Re:おお、ありそうでなかったやつですね:blob_smile_open_mouth2:,古川格(運営),2025-07-31 01:26:16.145249
Re:beautifulsoup4とhtml2textあたりを使ってコード書けよ！と言われたまぁ…うん…という感じでもあるので参考に自分で何かしら準備する方が良いのかもしれませんね…,吉井春樹,2025-07-31 10:46:53.579579
"Re:Difyが以前からWebスクレイピングのツールで導入しているのがJina Readerですね
これもMDにHTMLを削ぎ落としてくれるやつです
TOPページにAPIキーを公開して置いて「これで叩けるやつだけかかってこい」はかっこいい
<https://jina.ai/>",Tetsuya Shibao,2025-08-17 09:29:27.643349
Re:Web2MDはwebサイトを綺麗にMarkdown化するのが主な目的(素材作成用)って感じなのでRAGやAIに読ませんのよってのが主ならJina Readerが強い感じのようですね,吉井春樹,2025-08-17 14:59:19.258849
