text,user,ts
"*<!channel>*
お疲れ様です :star-struck:
一回涼しくなったのに、また暑さが戻ってきましたね:melting_face:
*１０月１８日（土）２１時半*より運営ミーティング行いたいと思います :sparkles:
LT会開催について話したいと思います:blob-wave:よろしくお願いします:blob-wave:",古川格(運営),2025-10-12 12:00:00.157099
"運営ミーティングお疲れ様でした:blob_smile_happy_eyes:
内容共有しておきます。
&gt;  ITコミュニティデイ2025（仮
&gt;      特に動きなし
&gt;  ライトニングトーク会
&gt;      登壇者が貯まったので開催を
&gt;      10月25日、11月8日、22日、23日で登壇者へ都合の良い日を問い合わせる。
&gt;  SSSの先輩侍として参加
&gt;      11月26日夜。お時間合えばどなたか一緒に
&gt;  AIで写真をいい感じにアルバムにしてくれるサービスがないか。
&gt;  <https://www.excite.co.jp/news/article/StraightpressNews_202409131206265/#goog_rewarded>
&gt;      いいのがあれば橋口さんへ
&gt; ",古川格(運営),2025-09-21 00:33:33.760429
<https://www.excite.co.jp/news/article/StraightpressNews_202409131206265/#goog_rewarded>,古川格(運営),2025-09-20 21:57:05.618319
"お疲れ様です！
今日から娘が里帰りから帰ってきたので、今日はお休みします :sweat_drops: :bow::skin-tone-2: ",麓　大介,2025-09-20 21:18:13.871239
Re:,麓　大介,2025-09-20 21:19:01.400229
Re:おお～忙しくなりますね！,橋口加代子(運営),2025-09-20 21:20:56.367829
"zoomリンクです
<https://us06web.zoom.us/j/87154219625?pwd=LXjMkIZgOA8rSUBNOhBj0Bm6KwDj9z.1|https://us06web.zoom.us/j/87154219625?pwd=LXjMkIZgOA8rSUBNOhBj0Bm6KwDj9z.1>",古川格(運営),2025-09-20 20:53:56.697309
"うーん
今日のterakoya難しい:sweat:",橋口加代子(運営),2025-09-19 17:11:54.896469
"*<!channel>*
お疲れ様です :star-struck:
まだまだ暑い日が続いてますね。皆さん体調崩されていないでしょうか:melting_face:
*９月２０日（土）２１時半*より運営ミーティング行いたいと思います :sparkles:
よろしくお願いします:blob-wave:",古川格(運営),2025-09-14 13:00:01.146479
めでたい:tada:,橋口加代子(運営),2025-08-26 00:15:40.340099
かわいい～,橋口加代子(運営),2025-08-26 00:15:04.026479
Re:かわいいです～ :face_holding_back_tears: ありがとうございます！,麓　大介,2025-08-26 07:48:13.558839
おめでとう御座います！,権 晃稔,2025-08-25 23:14:20.720569
Re:ありがとうございます:sob:,麓　大介,2025-08-26 07:48:02.945909
,麓　大介,2025-08-25 23:05:03.268829
Re:おめでとうございます！！,森田剛史,2025-08-26 22:11:21.037649
Re:ありがとうございます:sob:。,麓　大介,2025-08-28 11:28:03.194779
Re:ありがとうございます:sob:！,麓　大介,2025-08-28 11:28:08.756339
"こんばんは！
今日の朝方ぐらいに無事うまれました :face_holding_back_tears: :face_holding_back_tears: 
バタバタでご報告遅くなり申し訳ありません :sweat_drops: 
出産は安産で母子共に健康です！
名前は麓茉白(ましろ)ちゃんと言います。
どこかでお会いすることがあったらどうぞ可愛がってあげてください。色々ご迷惑おかけしました。どうぞよろしくお願いします :face_holding_back_tears: ",麓　大介,2025-08-25 23:04:34.163409
"Re:おお、おめでとうございます:blob_smile_open_mouth2:
可愛い:blob_smile_open_mouth2:",古川格(運営),2025-08-25 23:11:11.207809
Re::congratulations:,橋口加代子(運営),2025-08-26 00:13:39.843779
Re:ありがとうございます:sob:,麓　大介,2025-08-26 07:48:24.620749
"Re:<@U02UJU47LBB> 
いろいろ大変だと思いますが頑張ってください :blob-wave: ",古川格(運営),2025-08-26 08:20:47.977579
